,Name,Name_tag,ID,Position
159,Jonathan Bamba,jonathan-bamba,292818,Left Winger
160,Milot Rashica,milot-rashica,291739,Left Winger
161,Patrick Cutrone,patrick-cutrone,265078,Centre-Forward
162,Viktor Tsyhankov,viktor-tsyhankov,264372,Right Winger
163,Mariano Díaz,mariano-diaz,225020,Centre-Forward
164,Jamie Vardy,jamie-vardy,197838,Centre-Forward
165,Luca Waldschmidt,luca-waldschmidt,196095,Centre-Forward
166,Bernard,bernard,175169,Left Winger
167,Divock Origi,divock-origi,148368,Centre-Forward
168,Simone Verdi,simone-verdi,130360,Right Winger
169,Nathan Redmond,nathan-redmond,129078,Left Winger
170,Joshua King,joshua-king,91059,Second Striker
171,Luis Muriel,luis-muriel,119228,Centre-Forward
172,Gabriel Martinelli,gabriel-martinelli,655488,Centre-Forward
173,Donyell Malen,donyell-malen,326029,Centre-Forward
174,Emiliano Buendía,emiliano-buendia,321247,Right Winger
175,Dodi Lukebakio,dodi-lukebakio,303259,Right Winger
176,Demarai Gray,demarai-gray,292417,Left Winger
177,Kasper Dolberg,kasper-dolberg,283196,Centre-Forward
178,Andrea Petagna,andrea-petagna,199258,Centre-Forward
179,Quincy Promes,quincy-promes,182381,Left Winger
180,Raúl de Tomás,raul-de-tomas,162038,Second Striker
181,Danny Ings,danny-ings,134294,Centre-Forward
182,Hakan Calhanoglu,hakan-calhanoglu,126414,Left Winger
183,Viktor Claesson,viktor-claesson,116598,Left Winger
184,Haris Seferovic,haris-seferovic,109256,Centre-Forward
185,Chris Wood,chris-wood,108725,Centre-Forward
186,Juan Cuadrado,juan-cuadrado,91970,Right Winger
187,Vitolo,vitolo,67082,Left Winger
188,José Callejón,jose-callejon,61253,Right Winger
189,Karl Toko Ekambi,karl-toko-ekambi,315110,Centre-Forward
190,Gerard Moreno,gerard-moreno,177467,Centre-Forward
191,Josef Martínez,josef-martinez,162569,Centre-Forward
192,Krépin Diatta,krepin-diatta,490426,Left Winger
193,Giovanni Simeone,giovanni-simeone,282388,Centre-Forward
194,Lucas Alario,lucas-alario,193782,Centre-Forward
195,Sardar Azmoun,sardar-azmoun,180337,Centre-Forward
196,Pedro,pedro,65278,Right Winger
197,Sebastián Driussi,sebastian-driussi,294853,Left Winger
198,Fedor Chalov,fedor-chalov,287183,Centre-Forward
199,Jean-Kévin Augustin,jean-kevin-augustin,264956,Centre-Forward
